prompt_id,condition,delta_eas,V_L_mean
2,direct_information,-0.028094467143217727,-1.4086087162513115
3,implicature_information,-0.050086555532046884,-1.4163048203649242
4,stochastic_information,-0.049417971644018455,-1.3862943611198906
6,direct_information,-0.0618927534476742,-1.4755517816455745
7,implicature_information,-0.029630784071522087,-1.4309230713827326
8,stochastic_information,0.030837552451367767,-1.2452932723461698
10,direct_information,-0.013444827522786695,-1.3862943611198906
11,implicature_information,-0.023788448579385002,-1.357536154374746
12,stochastic_information,0.06563288660128191,-1.3862943611198906
14,direct_information,0.03911196260266481,-1.4309230713827326
15,implicature_information,-0.014806901129760075,-1.3862943611198906
16,stochastic_information,0.012355031844910491,-1.3862943611198906
18,direct_information,-0.0024630243743933855,-1.3862943611198906
19,implicature_information,0.03805087567160492,-1.3903765605719163
20,stochastic_information,0.09571586078579253,-1.3862943611198906
22,direct_information,-0.09476911638162622,-1.5274311609870912
23,implicature_information,-0.04874354313758633,-1.477923434307306
24,stochastic_information,-0.01743657648947161,-1.345747850309074
26,direct_information,-0.008508828133344803,-1.4532374265141537
27,implicature_information,0.024087991297244926,-1.3705314666995323
28,stochastic_information,0.021503392265601606,-1.3862943611198906
30,direct_information,-0.01494967031999811,-1.3862943611198906
31,implicature_information,0.11466013498920491,-1.3862943611198906
32,stochastic_information,0.004475942696134272,-1.2517471244599272
34,direct_information,0.03707269224668919,-1.544866499701569
35,implicature_information,-0.001954493118807632,-1.4532374265141537
36,stochastic_information,0.04457232314588788,-1.2922936352707435
38,direct_information,0.04889913597310841,-1.4086087162513115
39,implicature_information,0.03125319369946522,-1.3862943611198906
40,stochastic_information,0.07044033273244438,-1.3862943611198906
42,direct_information,-0.018343852250661985,-1.4795363725002946
43,implicature_information,-0.03303072277245761,-1.3862943611198906
44,stochastic_information,-0.06556285933947359,-1.3862943611198906
46,direct_information,-0.012564043954014892,-1.4352345374179625
47,implicature_information,0.0018058119202272183,-1.5421745907664426
48,stochastic_information,-0.04416703794068283,-1.3367422193966214
50,direct_information,-0.044179303362965605,-1.3862943611198906
51,implicature_information,-0.016653803408145817,-1.3862943611198906
52,stochastic_information,-0.01215892163475063,-1.3862943611198906
54,direct_information,-0.07732940155756651,-1.4937939378250031
55,implicature_information,0.0499172568620907,-1.453077298377456
56,stochastic_information,0.0007864175809783047,-1.3680622054404952
58,direct_information,0.05588043868892456,-1.3862943611198906
59,implicature_information,0.0711967852211437,-1.4086087162513115
60,stochastic_information,0.04188907242223927,-1.339293998195317
