model,DV,test,n,median,W,p,r_rb,q_BH
Qwen,halflife_rel,II - (DI+SI)/2,15,-0.026279569892473043,28.0,0.072998046875,-0.5333333333333333,0.2735528970480732
Qwen,halflife_rel,DI vs II,15,-0.007333333333333303,46.0,0.45428466796875,-0.23333333333333334,0.7518592247596154
Qwen,halflife_rel,II vs SI,15,-0.062,10.0,0.00262451171875,-0.8333333333333334,0.0262451171875
Qwen,halflife_rel,DI vs SI,15,-0.08533333333333343,4.0,0.00042724609375,-0.9333333333333333,0.008544921875
Qwen,log_h_fb_quintile,II - (DI+SI)/2,15,-0.19314205973328802,31.0,0.10699462890625,-0.48333333333333334,0.4512532552083333
Qwen,log_h_fb_quintile,DI vs II,15,-0.05226142246869181,41.0,0.30279541015625,-0.31666666666666665,0.6480055588942307
Qwen,log_h_fb_quintile,II vs SI,15,-0.43854554193526785,17.0,0.012451171875,-0.7166666666666667,0.12451171875
Qwen,log_h_fb_quintile,DI vs SI,15,-0.49080696440395966,5.0,0.0006103515625,-0.9166666666666666,0.01220703125
DeepSeek,halflife_rel,II - (DI+SI)/2,15,0.015216178199817854,50.0,0.5994873046875,0.16666666666666666,0.79931640625
DeepSeek,halflife_rel,DI vs II,15,-0.012857332034314384,36.0,0.1876220703125,-0.4,0.4169379340277778
DeepSeek,halflife_rel,II vs SI,15,0.007492232150044242,59.0,0.97796630859375,0.016666666666666666,0.97796630859375
DeepSeek,halflife_rel,DI vs SI,15,-0.00701658090337326,31.0,0.10699462890625,-0.48333333333333334,0.2735528970480732
DeepSeek,log_h_fb_quintile,II - (DI+SI)/2,15,0.06859390776377475,37.0,0.207763671875,0.38333333333333336,0.573272705078125
DeepSeek,log_h_fb_quintile,DI vs II,15,-0.0806799990053908,33.0,0.1353759765625,-0.45,0.4512532552083333
DeepSeek,log_h_fb_quintile,II vs SI,15,-0.0009407218655452104,45.0,0.42120361328125,0.25,0.6480055588942307
DeepSeek,log_h_fb_quintile,DI vs SI,15,-0.022910398833456497,57.0,0.890380859375,0.05,0.97796630859375
LLaMA,halflife_rel,II - (DI+SI)/2,15,-0.0023333333333332984,53.0,0.7197265625,-0.11666666666666667,0.8467371323529411
LLaMA,halflife_rel,DI vs II,15,0.012000000000000122,31.5,0.10544346013099624,0.48333333333333334,0.2735528970480732
LLaMA,halflife_rel,II vs SI,15,0.014000000000000012,47.0,0.48870849609375,0.21666666666666667,0.7518592247596154
LLaMA,halflife_rel,DI vs SI,15,0.02733333333333332,27.0,0.10942115881922927,0.4857142857142857,0.2735528970480732
LLaMA,log_h_fb_quintile,II - (DI+SI)/2,15,0.01259207491200387,57.0,0.890380859375,0.05,0.97796630859375
LLaMA,log_h_fb_quintile,DI vs II,15,0.10665333118946971,45.0,0.42120361328125,0.25,0.6480055588942307
LLaMA,log_h_fb_quintile,II vs SI,15,0.09301364219792502,43.0,0.359130859375,0.2833333333333333,0.6480055588942307
LLaMA,log_h_fb_quintile,DI vs SI,15,0.17906480661444601,25.0,0.04791259765625,0.5833333333333334,0.3194173177083333
Mistral,halflife_rel,II - (DI+SI)/2,15,-0.012333333333333307,38.0,0.22930908203125,-0.36666666666666664,0.4586181640625
Mistral,halflife_rel,DI vs II,15,0.0013333333333334085,53.5,0.7119416547584347,0.11666666666666667,0.8467371323529411
Mistral,halflife_rel,II vs SI,15,-0.016000000000000125,27.0,0.063720703125,-0.55,0.2735528970480732
Mistral,halflife_rel,DI vs SI,15,-0.009333333333333471,27.0,0.063720703125,-0.55,0.2735528970480732
Mistral,log_h_fb_quintile,II - (DI+SI)/2,15,0.0674424543640134,44.0,0.389404296875,0.26666666666666666,0.6480055588942307
Mistral,log_h_fb_quintile,DI vs II,15,-0.10983003102370029,32.0,0.12054443359375,-0.4666666666666667,0.4512532552083333
Mistral,log_h_fb_quintile,II vs SI,15,0.06334374799166903,50.0,0.5994873046875,0.16666666666666666,0.8564104352678571
Mistral,log_h_fb_quintile,DI vs SI,15,-0.08707476060934691,38.0,0.22930908203125,-0.36666666666666664,0.573272705078125
DS-V2-Lite,halflife_rel,II - (DI+SI)/2,15,-0.0016154791154791015,56.0,0.846923828125,-0.06666666666666667,0.8914987664473685
DS-V2-Lite,halflife_rel,DI vs II,15,0.0038543275991600456,49.0,0.5614013671875,0.18333333333333332,0.79931640625
DS-V2-Lite,halflife_rel,II vs SI,15,0.006097004325364197,56.0,0.846923828125,0.06666666666666667,0.8914987664473685
DS-V2-Lite,halflife_rel,DI vs SI,15,0.004077171511133737,46.0,0.45428466796875,0.23333333333333334,0.7518592247596154
DS-V2-Lite,log_h_fb_quintile,II - (DI+SI)/2,15,0.018075123478546312,54.0,0.76153564453125,0.1,0.97796630859375
DS-V2-Lite,log_h_fb_quintile,DI vs II,15,-0.014262675921183188,59.0,0.97796630859375,-0.016666666666666666,0.97796630859375
DS-V2-Lite,log_h_fb_quintile,II vs SI,15,0.02188757103590941,58.0,0.93408203125,0.03333333333333333,0.97796630859375
DS-V2-Lite,log_h_fb_quintile,DI vs SI,15,0.007624895114726221,58.0,0.93408203125,-0.03333333333333333,0.97796630859375
